#{"t_start": 1789168584.9362738, "env_id": "AdroitHandDoor-v1"}
r,l,t
-45.142259,200,0.060634
-46.362444,200,0.119057
-45.033408,200,0.175184
-45.96568,200,0.234663
-45.30209,200,0.290431
-45.581306,200,0.346127
-45.349721,200,0.403363
-44.789517,200,0.459472
-44.732118,200,0.514708
-45.766509,200,0.571044
-44.678095,200,0.629695
-46.655263,200,0.688187
-47.069882,200,0.746587
-46.285726,200,0.80453
-46.526567,200,0.863213
-45.084313,200,0.922341
-46.87636,200,0.982602
-44.982928,200,1.041867
-46.693072,200,1.098431
-47.116208,200,1.155293
-45.849203,200,1.211596
-45.482652,200,1.26913
-47.19851,200,1.326616
-46.714252,200,1.383709
-46.724836,200,1.44273
-46.564038,200,1.504423
-43.861498,200,1.562209
-46.129281,200,1.618865
-46.599315,200,1.676581
-46.610809,200,1.733418
-45.869763,200,1.790123
-46.309976,200,1.849269
-47.22339,200,1.906913
-46.173787,200,1.964536
-46.582965,200,2.023149
-45.793941,200,2.0806
-46.087112,200,2.135633
-46.015849,200,2.19477
-45.835464,200,2.249943
-45.254999,200,2.307914
-46.43433,200,2.367265
-46.976629,200,2.428251
-47.313321,200,2.486532
-45.74576,200,2.545043
-46.097408,200,2.601185
-45.784339,200,2.65633
-46.580426,200,2.7168
-46.255313,200,2.773626
-47.551226,200,2.833172
-45.497554,200,2.891448
-46.521566,200,3.997037
-45.502137,200,5.102973
-44.523245,200,6.206621
-46.32636,200,7.305671
-45.93129,200,8.407899
-45.939314,200,9.506356
-45.969152,200,10.613319
-46.401131,200,11.719894
-45.673306,200,12.819398
-45.31717,200,13.914782
-45.805362,200,15.041033
-45.182758,200,16.133367
-45.76411,200,17.241325
-43.712863,200,18.346562
-45.889908,200,19.487069
-44.34358,200,20.602508
-46.004845,200,21.721368
-45.14728,200,22.821095
-45.504872,200,23.923325
-46.161422,200,25.032502
-44.451389,200,26.132989
-43.183971,200,27.226127
-44.62669,200,28.328175
-45.635464,200,29.428222
-44.494118,200,30.527701
-42.80496,200,31.625715
-42.956578,200,32.736519
-41.617622,200,33.85524
-41.068737,200,34.955993
-43.413194,200,36.083983
-38.781166,200,37.199477
-39.117695,200,38.329303
-42.539109,200,39.447807
-38.73512,200,40.577164
-42.370171,200,41.691216
-38.502327,200,42.825477
-40.813665,200,43.954614
-38.825679,200,45.094173
-38.418966,200,46.227549
-37.904143,200,47.348108
-39.400902,200,48.488241
-41.131839,200,49.62578
-38.732948,200,50.761208
-37.197668,200,51.884792
-38.992211,200,53.012366
-39.366724,200,54.143049
-34.138365,200,55.238764
-34.500387,200,56.344603
-33.693332,200,57.449521
-34.039823,200,58.553222
-39.976009,200,59.676766
-37.758308,200,60.804412
-39.582912,200,61.933123
-41.756307,200,63.051561
-42.042979,200,64.170249
-36.20431,200,65.271351
-42.461595,200,66.375999
-42.514207,200,67.481649
-42.601294,200,68.593028
-40.315576,200,69.689808
-39.658108,200,70.788572
-41.201594,200,71.899098
-41.213088,200,73.017045
-38.56109,200,74.156358
-33.403246,200,75.270272
-29.93029,200,76.37973
-33.219271,200,77.481905
-32.10972,200,78.571898
-31.444282,200,79.675908
-31.523528,200,80.797254
-41.012675,200,82.041733
-35.982298,200,83.187894
-37.693335,200,84.340968
-39.301415,200,85.539505
-39.721808,200,86.736782
-34.550552,200,88.682791
-38.637379,200,89.830941
-36.26957,200,90.977904
-32.398652,200,92.093136
-33.399674,200,93.207438
-34.526288,200,94.323174
-35.157384,200,95.432782
-33.723707,200,96.541273
-31.685873,200,97.660614
-39.280448,200,98.813419
-39.057187,200,99.950619
-40.729633,200,101.09068
-43.949602,200,102.255639
-41.084902,200,103.367848
-43.025851,200,104.479718
-33.867947,200,105.595809
-32.445295,200,106.715335
-30.489551,200,107.831988
-31.209692,200,108.945446
-32.051436,200,110.051349
-32.498173,200,111.165742
-30.950903,200,112.281869
-30.2224,200,113.396235
-31.160615,200,114.517846
-33.790177,200,115.639527
-40.375191,200,116.760889
-39.128607,200,117.889707
-32.367266,200,119.015666
