#{"t_start": 1789174276.729187, "env_id": "FetchReachDense-v4"}
r,l,t,is_success
-9.815707,50,0.05059,0.0
-12.364297,50,0.086661,0.0
-10.29853,50,0.123057,0.0
-11.032267,50,0.160445,0.0
-5.703986,50,0.197342,0.0
-14.234921,50,0.235147,0.0
-14.029918,50,0.273664,0.0
-9.278409,50,0.310793,0.0
-14.809513,50,0.350531,0.0
-13.153563,50,0.387217,0.0
-13.687165,50,0.426167,0.0
-13.492286,50,0.465977,0.0
-8.947697,50,0.50109,0.0
-10.538075,50,0.535669,0.0
-10.450088,50,0.575186,0.0
-4.24974,50,0.611039,0.0
-4.479687,50,0.648155,0.0
-15.01048,50,0.683579,0.0
-15.054881,50,0.724234,0.0
-7.609382,50,0.762621,0.0
-27.328177,50,0.948389,0.0
-3.65609,50,1.110512,0.0
-12.812366,50,1.272581,0.0
-10.00405,50,1.436634,0.0
-9.725634,50,1.600487,0.0
-11.065701,50,1.77476,0.0
-11.831743,50,1.94115,0.0
-15.915724,50,2.121929,0.0
-15.875616,50,2.293516,0.0
-11.06696,50,2.466416,0.0
-13.347153,50,2.642482,0.0
-8.953085,50,2.810191,0.0
-10.411806,50,2.97662,0.0
-6.51359,50,3.141265,0.0
-9.743382,50,3.30145,0.0
-13.761719,50,3.468653,0.0
-3.507301,50,3.632245,1.0
-6.55763,50,3.792623,0.0
-5.963402,50,3.961758,0.0
-7.118973,50,4.125349,0.0
-10.908071,50,4.288804,0.0
-8.497094,50,4.449909,0.0
-6.185677,50,4.614367,1.0
-4.765005,50,4.776136,0.0
-2.395923,50,4.939536,1.0
-5.476594,50,5.101181,0.0
-5.143906,50,5.26978,0.0
-4.208667,50,5.434445,0.0
-3.18461,50,5.60046,0.0
-5.389119,50,5.768225,0.0
-4.661288,50,5.930172,0.0
-3.074907,50,6.098279,0.0
-4.189831,50,6.259081,0.0
-3.974856,50,6.419353,0.0
-3.484513,50,6.579612,1.0
-4.136271,50,6.739651,0.0
-2.564427,50,6.899001,0.0
-3.047753,50,7.058699,0.0
-2.90598,50,7.219852,1.0
-2.117696,50,7.378773,1.0
-2.150255,50,7.536772,0.0
-2.399254,50,7.694213,1.0
-2.533762,50,7.855443,0.0
-2.223604,50,8.01532,1.0
-2.37126,50,8.174477,0.0
-3.249982,50,8.333409,0.0
-2.539499,50,8.495972,0.0
-2.963725,50,8.656371,0.0
-2.563705,50,8.826238,1.0
-1.510062,50,8.990648,1.0
-1.882646,50,9.150593,1.0
-1.855244,50,9.308817,1.0
-3.533814,50,9.479465,0.0
-1.225521,50,9.658949,1.0
-2.856586,50,9.825971,0.0
-2.062942,50,9.993631,1.0
-2.048945,50,10.159665,1.0
-2.313043,50,10.332206,0.0
-2.640389,50,10.495176,1.0
-2.739003,50,10.660222,1.0
-2.843031,50,10.829044,1.0
-1.677467,50,10.992437,1.0
-1.504988,50,11.17789,1.0
-1.822477,50,11.353274,1.0
