seed,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_distance,final_distance,timesteps
201,-1.7578213682105799,50,True,True,0.94,4.0,0.03074638052978713,0.030812635010226325,5000
202,-1.4596197631872139,50,True,True,0.98,2.0,0.02746167662813143,0.027606887564761318,5000
203,-2.336653112728209,50,True,True,0.9,6.0,0.043212620995801976,0.043212620995801976,5000
204,-0.5967292547555035,50,True,True,0.98,2.0,0.008926509267612648,0.009167691783091757,5000
205,-2.1356128028973567,50,True,True,0.92,5.0,0.038000038265435826,0.03800043858357858,5000
201,-0.4961154540470036,50,True,True,0.94,4.0,0.0039261275778656995,0.0039261275778656995,10000
202,-0.5813226020958024,50,True,True,0.98,2.0,0.00923655424357038,0.009240450096291061,10000
203,-0.7203025062622936,50,True,True,0.96,3.0,0.01019430131311028,0.010365798442486994,10000
204,-0.6850777340006052,50,True,True,0.98,2.0,0.010992833133484259,0.011688121558175843,10000
205,-0.5521296961498743,50,True,True,0.96,3.0,0.003928693887079113,0.006418648512566223,10000
201,-1.1455725561981183,50,True,True,0.94,4.0,0.018164110249401802,0.01816453497956891,15000
202,-1.219029352189488,50,True,True,0.98,2.0,0.02274602602436282,0.022931912889239823,15000
203,-0.6557987378686808,50,True,True,0.96,3.0,0.006978753677270465,0.00981270179076827,15000
204,-1.0853334992861197,50,True,True,0.98,2.0,0.019790745235071527,0.020023145710652966,15000
205,-1.2114189347154924,50,True,True,0.96,3.0,0.019982744230190707,0.02007703974296402,15000
201,-1.3434417932235068,50,True,True,0.94,4.0,0.013004306804897446,0.023727255855130948,20000
202,-1.0845641577181253,50,True,True,0.98,2.0,0.01952278500453325,0.020201163209410383,20000
203,-0.8540470013635829,50,True,True,0.96,3.0,0.013519813978012647,0.013543648592205708,20000
204,-1.16562561760421,50,True,True,0.98,2.0,0.01304758481050158,0.022694437570798,20000
205,-1.313644348254273,50,True,True,0.96,3.0,0.016083050572942674,0.023265883055972346,20000
201,-0.6641394872514399,50,True,True,0.94,4.0,0.0034088602754030386,0.008534349889172763,25000
