seed,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_distance,final_distance
1001,-10.44179494622025,50,False,False,0.0,,0.10151473096329035,0.2621690108522521
1002,-9.210308606748585,50,False,False,0.0,,0.07168110705521429,0.2655037430288156
1003,-7.817145819611602,50,False,False,0.0,,0.09455683975325306,0.10763393505251001
1004,-16.136833647611486,50,False,False,0.0,,0.16418409038626744,0.36487199034318246
1005,-12.28782644124545,50,False,False,0.0,,0.14009442188302212,0.3136809437185152
1006,-4.859509773182323,50,True,False,0.16,9.0,0.024930326610848926,0.1980923668439618
1007,-9.282039533035242,50,False,False,0.0,,0.10881578844881888,0.2480491910274734
1008,-6.260851111095438,50,False,False,0.0,,0.06846417612066459,0.13191569557347746
1009,-10.793353042496896,50,False,False,0.0,,0.14542377832526898,0.17942646858014602
1010,-8.228862642474617,50,False,False,0.0,,0.08618541333376321,0.2464138715014752
