seed,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_distance,final_distance
201,-0.6365021047142939,50,True,True,0.94,4.0,0.0075976010743857725,0.007597803046202707
202,-0.4696109379042238,50,True,True,0.98,2.0,0.007502765904822406,0.007504802053872273
203,-0.6442050221748074,50,True,True,0.96,3.0,0.007894490278772752,0.009481084323432356
204,-0.46845589769736795,50,True,True,0.98,2.0,0.0045364438591658255,0.007817332298257788
205,-0.6332264166898192,50,True,True,0.96,3.0,0.008209140381868653,0.00820969809082863
206,-0.7634498343584244,50,True,True,0.94,4.0,0.009273564451945973,0.009274597476914644
207,-0.5183841476446733,50,True,True,0.96,3.0,0.007212318037626178,0.007214469550491238
208,-0.6270465947642372,50,True,True,0.96,3.0,0.0076734505970066525,0.007673606504789417
209,-0.4064376034194594,50,True,True,1.0,1.0,0.007160947763925353,0.007162757258803958
210,-0.42945228171322447,50,True,True,1.0,1.0,0.007632819197681221,0.007633680751982616
