rollout/success_rate,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/std
0.0,1,1405,2048,50.0,1,-6.470811925,,,,,,,,,,,
0.0,2,1356,4096,50.0,3,-6.474691851851852,-1.3421802520751953,-28.38022541999817,-0.08549104686826467,10,0.2,0.05049575,0.0003,0.706184133887291,0.41572265625,0.060205623507499695,1.000023603439331
0.0,3,1342,6144,50.0,4,-6.4941221900000015,-0.3050764799118042,-28.36447126865387,-0.08228478999226355,20,0.2,0.047977097,0.0003,0.48193833902478217,0.372509765625,-0.026977747678756714,0.998493492603302
0.0,4,1337,8192,50.0,6,-6.391367089999999,-0.24501502513885498,-28.32337486743927,-0.08715965590672567,30,0.2,0.051115207,0.0003,0.36976930052042006,0.403759765625,-0.038414403796195984,0.9963003396987915
0.0,5,1332,10240,50.0,7,-6.289156289999999,-0.32088422775268555,-28.283300137519838,-0.08670524082845077,40,0.2,0.052516475,0.0003,0.29877789691090584,0.405078125,-0.049872398376464844,0.9946902990341187
0.0,6,1329,12288,50.0,9,-6.26156019,-0.3589322566986084,-28.26888291835785,-0.09029328827746212,50,0.2,0.057090737,0.0003,0.23901478927582503,0.421533203125,-0.06073964387178421,0.9946392178535461
0.0,7,1328,14336,50.0,10,-6.14457768,-0.3896979093551636,-28.265494894981384,-0.09268637881614268,60,0.2,0.06240134,0.0003,0.19961958164349197,0.430322265625,-0.08246617019176483,0.9939864873886108
0.0,8,1325,16384,50.0,12,-6.011573510000001,-0.46016907691955566,-28.23890941143036,-0.09560906181577593,70,0.2,0.06441561,0.0003,0.15450504077598454,0.444970703125,-0.0960090160369873,0.9929010272026062
0.0,9,1324,18432,50.0,13,-5.97736239,-0.4941343069076538,-28.216351294517516,-0.09748521916335448,80,0.2,0.06835213,0.0003,0.1296344350092113,0.459375,-0.0998099073767662,0.9907971620559692
0.0,10,1322,20480,50.0,15,-5.9573100199999995,-0.5724301338195801,-28.17924909591675,-0.09836977010127157,90,0.2,0.06684438,0.0003,0.11341848690062761,0.468994140625,-0.10988679528236389,0.9895370602607727
