#{"t_start": 1789218848.1384692, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-5.415214,50,0.045237,0.0
-6.110921,50,0.080676,0.0
-6.4261,50,0.115695,0.0
-5.625713,50,0.152012,0.0
-5.733228,50,0.18797,0.0
-6.248207,50,0.222861,0.0
-6.587068,50,0.258474,0.0
-5.916315,50,0.293289,0.0
-5.997388,50,0.327952,0.0
-6.896315,50,0.363057,0.0
-7.112938,50,0.398083,0.0
-6.063788,50,0.433104,0.0
-6.938721,50,0.46833,0.0
-6.454179,50,0.503205,0.0
-7.162551,50,0.538095,0.0
-6.072677,50,0.57322,0.0
-6.071378,50,0.608324,0.0
-6.108689,50,0.643413,0.0
-6.550197,50,0.678094,0.0
-6.585923,50,0.713243,0.0
-6.092157,50,0.748951,0.0
-6.820358,50,0.785201,0.0
-6.923264,50,0.820823,0.0
-5.320177,50,0.856232,0.0
-7.155817,50,0.891173,0.0
-6.881486,50,0.926318,0.0
-6.098345,50,0.962176,0.0
-6.882915,50,0.998259,0.0
-6.510698,50,1.033805,0.0
-6.051159,50,1.069388,0.0
-6.824171,50,1.104469,0.0
-6.004468,50,1.140205,0.0
-6.185299,50,1.177343,0.0
-6.700161,50,1.212362,0.0
-8.053056,50,1.247,0.0
-6.335844,50,1.28233,0.0
-7.638785,50,1.317109,0.0
-6.358242,50,1.35182,0.0
-6.736931,50,1.388078,0.0
-7.181634,50,1.424339,0.0
-6.508792,50,1.574073,0.0
-6.845073,50,1.609858,0.0
-7.375344,50,1.645157,0.0
-5.451033,50,1.680677,0.0
-7.233835,50,1.715421,0.0
-7.015605,50,1.750515,0.0
-6.16909,50,1.786363,0.0
-6.047096,50,1.821773,0.0
-6.246039,50,1.857323,0.0
-6.999777,50,1.892559,0.0
-7.040064,50,1.927756,0.0
-6.25782,50,1.962693,0.0
-6.23941,50,1.997333,0.0
-5.628501,50,2.033045,0.0
-5.817115,50,2.06829,0.0
-6.96887,50,2.103158,0.0
-7.00256,50,2.138992,0.0
-5.349848,50,2.174239,0.0
-6.794705,50,2.209649,0.0
-6.393938,50,2.244648,0.0
-6.071684,50,2.279617,0.0
-5.838997,50,2.314596,0.0
-5.789453,50,2.349659,0.0
-6.730513,50,2.38454,0.0
-7.592717,50,2.419939,0.0
-5.369074,50,2.454801,0.0
-6.636279,50,2.489609,0.0
