step,ckpt_path,norm_path,tune_return,tune_dist_mm,tune_success,test_return,test_dist_mm,test_success
100000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_100000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_100000.pkl,-4.106013290897862,83.46950271259249,0.0,-4.278187198241873,85.80046565403796,0.0
1000000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_1000000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_1000000.pkl,-0.8608207021931337,16.900543263550414,0.0,-0.8872841039728308,16.75935908646684,10.0
200000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_200000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_200000.pkl,-2.628532739057813,51.794748312231484,0.0,-2.9040380253826283,56.991674144357944,0.0
300000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_300000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_300000.pkl,-1.9032062992117915,36.765429887826095,0.0,-2.133509050433571,41.49815705237457,0.0
400000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_400000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_400000.pkl,-1.6292201347457858,31.809107644098702,0.0,-1.883723088213698,37.279773476652615,0.0
500000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_500000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_500000.pkl,-1.3544982585477716,25.261981602972032,0.0,-1.5681955296703753,30.3113530459775,0.0
600000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_600000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_600000.pkl,-1.1622217713743574,22.762862450107058,0.0,-1.3433913103954755,25.655947375867775,0.0
700000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_700000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_700000.pkl,-1.0535074538088038,20.19434608534038,0.0,-1.1370356744880907,22.530497705820956,0.0
800000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_800000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_800000.pkl,-0.9575256170363099,16.505626267447848,20.0,-1.027612590034717,17.897803499170685,10.0
900000,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\checkpoint_900000.zip,3-HandReachDense\runs\20260913T124500410836Z_full\checkpoints\vec_normalize_900000.pkl,-0.9246234105068684,16.50354614995456,0.0,-0.9812736781141702,18.58049902928529,0.0
