time/fps,time/time_elapsed,time/iterations,rollout/success_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/std,train/explained_variance,train/policy_gradient_loss
1399,1,1,0.0,2048,-6.470811925,50.0,,,,,,,,,,,
1348,3,2,0.0,4096,-6.492437913580246,50.0,-28.377459621429445,0.121630859375,10,1.4892579376697541,0.33140844106674194,0.0031672444,3e-05,0.1,0.9998796582221985,-1.3421802520751953,-0.02299396808957681
1334,4,3,0.0,6144,-6.514497089999999,50.0,-28.375842809677124,0.10126953125,20,1.1177511468529702,0.24246591329574585,0.0026233909,3e-05,0.1,0.9997787475585938,-1.0643248558044434,-0.01601246210630052
1325,6,4,0.0,8192,-6.423865879999999,50.0,-28.37162141799927,0.09296875,30,0.9327306970953941,0.269538938999176,0.0025740245,3e-05,0.1,0.9994553327560425,-1.0291244983673096,-0.016173396119847895
1321,7,5,0.0,10240,-6.35583072,50.0,-28.36608729362488,0.111083984375,40,0.7807569824159145,0.1986389309167862,0.0027837222,3e-05,0.1,0.999268651008606,-1.3977625370025635,-0.016856599686434492
1318,9,6,0.0,12288,-6.35336357,50.0,-28.36170756816864,0.09638671875,50,0.706562764942646,0.24584579467773438,0.0026857925,3e-05,0.1,0.9989668130874634,-1.7758150100708008,-0.015991730109089986
1316,10,7,0.0,14336,-6.2697878099999995,50.0,-28.35466375350952,0.1005859375,60,0.6331617388874292,0.1486966609954834,0.002743099,3e-05,0.1,0.9985538721084595,-2.101954698562622,-0.017001039028400555
1315,12,8,0.0,16384,-6.1874338799999995,50.0,-28.34411952495575,0.1234375,70,0.5378022909164428,0.17446768283843994,0.002992333,3e-05,0.1,0.9979300498962402,-1.7375211715698242,-0.01980599764501676
1314,14,9,0.0,18432,-6.19027482,50.0,-28.334823894500733,0.125146484375,80,0.4189218759536743,0.11553485691547394,0.0031120433,3e-05,0.1,0.9976608157157898,-1.750331163406372,-0.019259953490109182
1313,15,10,0.0,20480,-6.2067507000000015,50.0,-28.328495144844055,0.106884765625,90,0.3682573553174734,0.11420215666294098,0.002736677,3e-05,0.1,0.9972671270370483,-2.22947359085083,-0.01861260425648652
1312,17,11,0.0,22528,-6.23874949,50.0,-28.321449041366577,0.09765625,100,0.31110757645219567,0.0909680426120758,0.0026532938,3e-05,0.1,0.9969797134399414,-2.1487274169921875,-0.01810386556899175
1311,18,12,0.0,24576,-6.15114428,50.0,-28.316746306419372,0.114453125,110,0.26911985259503124,0.07874096930027008,0.002712701,3e-05,0.1,0.9968292117118835,-1.8390252590179443,-0.02009132179664448
1310,20,13,0.0,26624,-6.082874170000001,50.0,-28.31570348739624,0.13837890625,120,0.24594449140131475,0.06398098170757294,0.0029806183,3e-05,0.1,0.9968814849853516,-1.7039926052093506,-0.021649909520056097
1309,21,14,0.0,28672,-6.00503178,50.0,-28.315961360931396,0.145849609375,130,0.2285460712388158,0.07861703634262085,0.0033143642,3e-05,0.1,0.9967933893203735,-1.3220269680023193,-0.022292066359659655
1309,23,15,0.0,30720,-5.9799862699999995,50.0,-28.311226963996887,0.158740234375,140,0.2150046478956938,0.05280729755759239,0.0034752982,3e-05,0.1,0.996448814868927,-1.3925106525421143,-0.02358183292672038
1309,25,16,0.0,32768,-6.019374140000001,50.0,-28.305829071998595,0.142333984375,150,0.19241325408220292,0.04877135157585144,0.0031380653,3e-05,0.1,0.996300995349884,-2.25134539604187,-0.02258323144633323
1309,26,17,0.0,34816,-6.02702663,50.0,-28.303153371810915,0.13671875,160,0.20318110454827548,0.051745712757110596,0.0034608734,3e-05,0.1,0.996167004108429,-1.386171579360962,-0.022195120551623405
1308,28,18,0.0,36864,-6.02070107,50.0,-28.300219583511353,0.12158203125,170,0.17019788771867753,0.04764747619628906,0.0030392597,3e-05,0.1,0.9959591031074524,-1.4805431365966797,-0.022302970866439863
1308,29,19,0.0,38912,-6.020088859999999,50.0,-28.29385461807251,0.16513671875,180,0.15944144912064076,0.02888600528240204,0.0036390983,3e-05,0.1,0.9955769777297974,-1.4122436046600342,-0.023561519826762377
1308,31,20,0.0,40960,-5.96990909,50.0,-28.287749552726744,0.150634765625,190,0.17552290204912424,0.03971489518880844,0.0033038082,3e-05,0.1,0.9953133463859558,-1.3809998035430908,-0.023314820538507773
1308,32,21,0.0,43008,-5.95669392,50.0,-28.281767296791077,0.149072265625,200,0.16350641679018735,0.038285911083221436,0.003513561,3e-05,0.1,0.9950453042984009,-1.5239741802215576,-0.024563494441099464
1308,34,22,0.0,45056,-5.92102236,50.0,-28.27555909156799,0.141552734375,210,0.14444376323372127,0.029041975736618042,0.0033946375,3e-05,0.1,0.9946274757385254,-1.9196171760559082,-0.023132289393106475
1308,35,23,0.0,47104,-5.85855797,50.0,-28.27081353664398,0.158544921875,220,0.14814226040616632,0.03247310221195221,0.0036465144,3e-05,0.1,0.9946675300598145,-2.3235487937927246,-0.023647574230562896
1308,37,24,0.0,49152,-5.88656709,50.0,-28.270743632316588,0.157373046875,230,0.14521114537492394,0.02656860277056694,0.0034459312,3e-05,0.1,0.9945188760757446,-1.2944331169128418,-0.023754525533877312
1297,39,25,0.0,51200,-5.79269814,50.0,-28.267536926269532,0.156201171875,240,0.12494112541899086,0.024724282324314117,0.0036178106,3e-05,0.1,0.994391143321991,-2.0311193466186523,-0.023931994917802513
1297,41,26,0.0,53248,-5.75437681,50.0,-28.264688777923585,0.123486328125,250,0.11835085302591324,0.019839290529489517,0.0030300408,3e-05,0.1,0.9942183494567871,-1.6580829620361328,-0.022053641773527487
1297,42,27,0.0,55296,-5.837785929999999,50.0,-28.25812451839447,0.15009765625,260,0.1253173617646098,0.022879552096128464,0.0036926318,3e-05,0.1,0.9937494993209839,-1.532616376876831,-0.023551773087820038
