#{"t_start": 1789220522.800371, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-5.450552,50,0.043198,0.0
-5.701672,50,0.077928,0.0
-5.896308,50,0.112907,0.0
-5.715482,50,0.147962,0.0
-5.519181,50,0.183726,0.0
-5.865183,50,0.21939,0.0
-6.132092,50,0.254436,0.0
-5.553846,50,0.289695,0.0
-5.916578,50,0.324547,0.0
-6.295063,50,0.359739,0.0
-6.421766,50,0.395214,0.0
-6.122598,50,0.430404,0.0
-6.338017,50,0.465539,0.0
-5.906079,50,0.500732,0.0
-6.789836,50,0.53597,0.0
-5.908097,50,0.571625,0.0
-5.952665,50,0.607081,0.0
-5.742386,50,0.641935,0.0
-5.998481,50,0.677167,0.0
-6.02357,50,0.712081,0.0
-5.926473,50,0.747239,0.0
-5.998414,50,0.782442,0.0
-6.315146,50,0.817443,0.0
-5.60163,50,0.852918,0.0
-6.38174,50,0.888122,0.0
-6.258099,50,0.923004,0.0
-5.952154,50,0.958377,0.0
-6.177647,50,0.993865,0.0
-6.142065,50,1.029026,0.0
-5.973609,50,1.064134,0.0
-6.358943,50,1.09994,0.0
-5.842289,50,1.13518,0.0
-5.509275,50,1.17009,0.0
-6.298737,50,1.205122,0.0
-6.995994,50,1.239875,0.0
-6.486963,50,1.275029,0.0
-7.018212,50,1.309821,0.0
-5.91658,50,1.345378,0.0
-5.907904,50,1.38028,0.0
-6.614619,50,1.415402,0.0
-6.069555,50,1.566578,0.0
-6.425674,50,1.602352,0.0
-6.581121,50,1.637877,0.0
-5.59474,50,1.673027,0.0
-6.510831,50,1.708896,0.0
-6.497772,50,1.74466,0.0
-5.70506,50,1.780681,0.0
-5.651781,50,1.816835,0.0
-5.858486,50,1.852465,0.0
-6.505226,50,1.887596,0.0
-6.58302,50,1.922558,0.0
-5.888109,50,1.958538,0.0
-5.789246,50,1.993787,0.0
-5.574548,50,2.02873,0.0
-5.78763,50,2.063551,0.0
-6.552759,50,2.098777,0.0
-6.451123,50,2.133861,0.0
-5.187846,50,2.169104,0.0
-6.353574,50,2.204077,0.0
-6.097827,50,2.239782,0.0
-5.485099,50,2.275101,0.0
-5.456446,50,2.309874,0.0
-5.37789,50,2.344576,0.0
-6.132413,50,2.379423,0.0
-6.827988,50,2.414085,0.0
-5.124017,50,2.44912,0.0
-6.040518,50,2.483929,0.0
-6.067031,50,2.519134,0.0
-6.282636,50,2.554379,0.0
-6.395229,50,2.589378,0.0
-5.926123,50,2.624515,0.0
-5.601311,50,2.659881,0.0
-6.301028,50,2.694926,0.0
-6.606568,50,2.730126,0.0
-5.661224,50,2.765362,0.0
-6.064588,50,2.800375,0.0
-5.972762,50,2.835547,0.0
